id,display_name,image,rarity,element,hp,damage
seal_of_disapproval,Seal of Disapproval,/cards/seal_of_disapproval.png,Rare,Water,160,45
ominous_claude_pet,Ominous Claude Pet,/cards/ominous_claude_pet.png,Epic,Void,200,65
the_child,The Child,/cards/the_child.png,Legendary,Water,260,85
dictator_mbappe,Dictator Mbappe,/cards/dictator_mbappe.png,Epic,Socratic,220,70
sechshander,Sechshänder,/cards/sechshander.png,Rare,Ice,170,50
pufferfish,Pufferfish,/cards/pufferfish.png,Uncommon,Ice,120,30
sonfish,SONfish,/cards/sonfish.png,Common,Water,95,20
diet_coke,Diet Coke,/cards/diet_coke.png,Rare,Tung Descendant,155,42
doug,Doug,/cards/doug.png,Common,Socratic,85,22
a_disappointment,A Disappointment,/cards/dissapointment.png,Uncommon,Fire,110,35
lil_jeff,Lil Jeff,/cards/lil_jeff.png,Uncommon,Metal,130,28
chinese_kirk,Chinese Kirk,/cards/chinese_kirk.png,Epic,Metal,210,60
no_time_rabbit,No Time Rabbit,/cards/no_time_rabbit.png,Rare,Air,150,48
autism_creature,Autism Creature,/cards/autism_creature.png,Legendary,Air,270,95
energy_drink_addict,Energy Drink Addict,/cards/energy_drink.png,Common,Void,100,25
fat_pika,Fat Pika,/cards/fat_pika.png,Uncommon,Air,140,32
osu_nerd,Osu Nerd,/cards/osu_nerd.png,Rare,Socratic,165,52
fat_alcoholic_grimble,Fat Alcoholic Grimble,/cards/fat_alcoholic_grimble.png,Epic,Tung Descendant,230,75
extra_christian_kirby,Extra Christian Kirby,/cards/extra_christian_kirby.png,Legendary,Grimble,280,100
gullible,Gullible,/cards/gullible.png,Common,Water,80,15
mf,Mf,/cards/mf.png,Uncommon,Socratic,115,38
